"sid"	"type"	"before"	"after"	"oven"
1	"maize"	353	140	"Gas"
2	"maize"	350	205	"Gas"
3	"maize"	343	176	"Firewood"
4	"maize"	338	200	"Firewood"
5	"maize"	338	230	"Firewood"
6	"wheat"	394	243	"Firewood"
7	"wheat"	359	272	"Gas"
8	"wheat"	357	198	"Firewood"
9	"wheat"	352	223	"Firewood"
10	"wheat"	419	240	"Gas"
11	"maize"	357	221	"Firewood"
12	"wheat"	396	211	"Firewood"
13	"wheat"	394	222	"Firewood"
14	"maize"	395	190	"Gas"
15	"wheat"	370	220	"Firewood"
16	"wheat"	398	224	"Firewood"
17	"maize"	367	209	"Firewood"
18	"maize"	380	165	"Gas"
19	"wheat"	405	199	"Gas"
20	"maize"	329	202	"Gas"
21	"wheat"	389	271	"Firewood"
22	"wheat"	410	196	"Gas"
23	"wheat"	437	210	"Firewood"
24	"wheat"	389	286	"Firewood"
25	"wheat"	381	165	"Gas"
26	"maize"	382	186	"Firewood"
27	"maize"	392	193	"Firewood"
28	"wheat"	380	222	"Gas"
29	"maize"	383	180	"Gas"
30	"maize"	398	188	"Firewood"
31	"wheat"	350	210	"Firewood"
32	"maize"	382	230	"Firewood"
33	"maize"	390	185	"Firewood"
34	"maize"	379	236	"Gas"
35	"maize"	406	190	"Gas"
36	"wheat"	403	224	"Gas"
37	"wheat"	358	200	"Gas"
38	"maize"	373	255	"Firewood"
39	"wheat"	406	285	"Gas"
40	"maize"	391	179	"Firewood"
41	"maize"	333	213	"Gas"
42	"maize"	396	204	"Gas"
43	"maize"	381	183	"Gas"
44	"wheat"	479	295	"Firewood"
45	"maize"	330	210	"Firewood"
46	"maize"	347	202	"Gas"
47	"wheat"	426	247	"Firewood"
48	"maize"	361	163	"Gas"
49	"maize"	385	222	"Firewood"
50	"maize"	331	205	"Gas"
51	"wheat"	398	192	"Gas"
52	"wheat"	335	204	"Gas"
53	"wheat"	378	246	"Firewood"
54	"maize"	347	190	"Firewood"
55	"maize"	389	200	"Gas"
56	"maize"	387	207	"Gas"
57	"wheat"	387	209	"Firewood"
58	"maize"	316	179	"Firewood"
59	"wheat"	372	231	"Gas"
60	"maize"	380	212	"Firewood"
61	"wheat"	369	229	"Firewood"
62	"maize"	348	218	"Gas"
63	"wheat"	372	276	"Gas"
64	"maize"	367	220	"Gas"
65	"maize"	309	177	"Firewood"
66	"wheat"	431	252	"Firewood"
67	"wheat"	388	268	"Firewood"
68	"maize"	354	211	"Firewood"
69	"maize"	400	251	"Firewood"
70	"wheat"	459	211	"Gas"
71	"maize"	365	188	"Gas"
72	"maize"	392	252	"Firewood"
73	"wheat"	412	265	"Gas"
74	"wheat"	396	254	"Gas"
75	"maize"	356	205	"Firewood"
76	"maize"	363	201	"Firewood"
77	"wheat"	386	246	"Gas"
78	"maize"	364	247	"Firewood"
79	"wheat"	420	208	"Firewood"
80	"wheat"	398	242	"Gas"
81	"wheat"	361	246	"Gas"
82	"wheat"	414	244	"Firewood"
83	"wheat"	376	261	"Gas"
84	"wheat"	396	260	"Gas"
85	"wheat"	376	228	"Firewood"
86	"maize"	360	229	"Firewood"
87	"maize"	365	185	"Firewood"
88	"wheat"	412	222	"Gas"
89	"wheat"	368	237	"Firewood"
90	"wheat"	386	218	"Gas"
91	"maize"	363	215	"Gas"
92	"maize"	353	228	"Firewood"
93	"maize"	369	247	"Firewood"
94	"wheat"	345	245	"Gas"
95	"maize"	357	189	"Firewood"
96	"wheat"	345	246	"Firewood"
97	"wheat"	414	207	"Gas"
98	"maize"	398	190	"Gas"
99	"wheat"	372	188	"Firewood"
100	"wheat"	396	273	"Firewood"
101	"wheat"	380	224	"Gas"
102	"maize"	344	160	"Gas"
103	"maize"	355	208	"Firewood"
104	"wheat"	417	236	"Firewood"
105	"maize"	403	199	"Firewood"
106	"maize"	386	188	"Firewood"
107	"maize"	347	227	"Gas"
108	"wheat"	375	253	"Firewood"
109	"wheat"	382	244	"Gas"
110	"wheat"	399	195	"Gas"
111	"maize"	389	193	"Firewood"
112	"wheat"	451	221	"Gas"
113	"maize"	364	197	"Firewood"
114	"wheat"	440	252	"Gas"
115	"wheat"	356	241	"Gas"
116	"wheat"	365	252	"Firewood"
117	"wheat"	390	258	"Firewood"
118	"maize"	367	164	"Gas"
119	"wheat"	418	231	"Gas"
120	"maize"	370	179	"Gas"
121	"wheat"	379	271	"Gas"
122	"maize"	360	199	"Firewood"
123	"wheat"	385	225	"Firewood"
124	"maize"	384	201	"Firewood"
125	"maize"	358	186	"Firewood"
126	"wheat"	356	245	"Firewood"
127	"maize"	370	190	"Firewood"
128	"wheat"	361	250	"Firewood"
129	"maize"	373	205	"Gas"
130	"maize"	336	252	"Firewood"
131	"wheat"	432	270	"Firewood"
132	"wheat"	407	270	"Gas"
133	"maize"	353	172	"Gas"
134	"wheat"	383	258	"Firewood"
135	"wheat"	376	261	"Gas"
136	"maize"	341	183	"Gas"
137	"maize"	359	227	"Gas"
138	"wheat"	379	252	"Firewood"
139	"maize"	357	211	"Gas"
140	"wheat"	417	266	"Gas"
141	"maize"	374	196	"Gas"
142	"wheat"	417	246	"Firewood"
143	"wheat"	378	213	"Firewood"
144	"wheat"	387	254	"Firewood"
145	"maize"	369	159	"Gas"
146	"maize"	400	187	"Gas"
147	"wheat"	413	216	"Firewood"
148	"wheat"	427	241	"Firewood"
149	"maize"	358	230	"Firewood"
150	"wheat"	395	260	"Gas"
151	"maize"	365	221	"Firewood"
152	"wheat"	370	264	"Gas"
153	"wheat"	414	191	"Firewood"
154	"maize"	351	168	"Gas"
155	"wheat"	364	247	"Gas"
156	"wheat"	390	221	"Firewood"
157	"wheat"	389	233	"Gas"
158	"maize"	378	214	"Firewood"
159	"maize"	353	199	"Firewood"
160	"maize"	423	178	"Firewood"
161	"wheat"	424	195	"Gas"
162	"maize"	331	239	"Gas"
163	"maize"	379	187	"Firewood"
164	"maize"	413	212	"Firewood"
165	"maize"	388	215	"Gas"
166	"wheat"	384	244	"Gas"
167	"wheat"	391	240	"Firewood"
168	"maize"	372	227	"Firewood"
169	"maize"	334	187	"Gas"
170	"maize"	369	187	"Gas"
171	"wheat"	384	250	"Firewood"
172	"wheat"	407	198	"Gas"
173	"maize"	372	233	"Firewood"
174	"maize"	354	231	"Firewood"
175	"wheat"	430	239	"Gas"
176	"maize"	408	213	"Firewood"
177	"maize"	341	203	"Gas"
178	"maize"	348	222	"Firewood"
179	"maize"	383	186	"Gas"
180	"maize"	385	214	"Gas"
181	"maize"	345	229	"Firewood"
182	"maize"	337	193	"Gas"
183	"maize"	356	141	"Gas"
184	"maize"	365	201	"Gas"
185	"maize"	362	181	"Gas"
186	"wheat"	414	215	"Gas"
187	"maize"	371	170	"Gas"
188	"maize"	371	219	"Gas"
189	"maize"	366	196	"Firewood"
190	"maize"	361	167	"Firewood"
191	"maize"	389	186	"Gas"
192	"maize"	392	236	"Gas"
193	"maize"	359	202	"Gas"
194	"wheat"	407	243	"Firewood"
195	"maize"	374	216	"Gas"
196	"maize"	401	184	"Gas"
197	"wheat"	403	243	"Gas"
198	"wheat"	403	231	"Gas"
199	"wheat"	417	241	"Firewood"
200	"wheat"	386	238	"Gas"
201	"maize"	386	252	"Gas"
202	"maize"	378	225	"Firewood"
203	"maize"	348	189	"Firewood"
204	"wheat"	399	241	"Gas"
205	"wheat"	378	263	"Firewood"
206	"maize"	383	220	"Firewood"
207	"maize"	352	204	"Firewood"
208	"wheat"	439	213	"Gas"
209	"maize"	343	202	"Gas"
210	"maize"	399	158	"Gas"
211	"maize"	381	166	"Firewood"
212	"wheat"	435	233	"Gas"
213	"wheat"	406	275	"Firewood"
214	"wheat"	386	199	"Firewood"
215	"wheat"	375	236	"Gas"
216	"maize"	332	210	"Firewood"
217	"maize"	386	233	"Gas"
218	"wheat"	423	277	"Firewood"
219	"maize"	367	173	"Firewood"
220	"wheat"	395	250	"Gas"
221	"wheat"	428	190	"Firewood"
222	"wheat"	367	219	"Gas"
223	"maize"	350	177	"Gas"
224	"wheat"	366	245	"Firewood"
225	"maize"	348	248	"Firewood"
226	"maize"	346	170	"Firewood"
227	"maize"	365	203	"Firewood"
228	"wheat"	395	254	"Gas"
229	"maize"	382	196	"Firewood"
230	"wheat"	411	231	"Firewood"
231	"maize"	420	192	"Firewood"
232	"maize"	360	188	"Gas"
233	"wheat"	357	226	"Firewood"
234	"wheat"	342	231	"Gas"
235	"maize"	355	220	"Gas"
236	"maize"	344	176	"Gas"
237	"wheat"	371	191	"Firewood"
238	"wheat"	397	211	"Firewood"
239	"maize"	380	213	"Gas"
240	"maize"	396	215	"Firewood"
241	"wheat"	385	212	"Gas"
242	"maize"	383	211	"Firewood"
243	"wheat"	437	229	"Firewood"
244	"wheat"	436	191	"Gas"
245	"wheat"	392	211	"Firewood"
246	"wheat"	385	214	"Gas"
247	"maize"	371	201	"Firewood"
248	"maize"	393	234	"Gas"
249	"wheat"	413	222	"Firewood"
250	"maize"	349	208	"Gas"
251	"wheat"	389	227	"Gas"
252	"maize"	345	217	"Gas"
253	"maize"	360	175	"Gas"
254	"wheat"	407	205	"Firewood"
255	"wheat"	391	227	"Gas"
256	"wheat"	437	248	"Firewood"
257	"maize"	382	220	"Firewood"
258	"wheat"	403	224	"Gas"
259	"wheat"	357	245	"Gas"
260	"wheat"	399	220	"Gas"
261	"wheat"	402	203	"Gas"
262	"maize"	304	177	"Firewood"
263	"maize"	366	196	"Firewood"
264	"wheat"	432	203	"Firewood"
265	"wheat"	398	263	"Firewood"
266	"wheat"	365	208	"Firewood"
267	"wheat"	358	220	"Gas"
268	"wheat"	390	273	"Firewood"
269	"wheat"	390	261	"Firewood"
270	"wheat"	448	247	"Gas"
271	"wheat"	414	237	"Firewood"
272	"maize"	355	221	"Gas"
