"id"	"sex"	"liquor"	"ice"	"drunk"	"age"	"food"
1	"Male"	1	0	1	33	0
2	"Female"	0	0	1	37	1
3	"Male"	0	0	0	37	0
4	"Female"	1	0	1	34	1
5	"Male"	1	1	0	40	0
6	"Male"	1	1	1	34	0
7	"Female"	1	1	1	31	1
8	"Female"	1	0	1	28	1
9	"Female"	1	1	1	27	0
10	"Male"	0	0	1	42	0
11	"Male"	0	1	1	34	0
12	"Male"	0	0	1	33	0
13	"Male"	1	1	1	29	0
14	"Female"	1	1	0	36	1
15	"Male"	1	1	0	36	0
16	"Male"	1	1	0	37	0
17	"Female"	1	0	0	39	1
18	"Male"	0	0	0	37	0
19	"Male"	1	1	1	38	0
20	"Female"	0	0	1	25	1
21	"Male"	1	1	1	38	0
22	"Male"	1	1	1	34	0
23	"Female"	0	0	1	22	1
24	"Female"	1	0	0	42	1
25	"Female"	1	1	1	32	0
26	"Female"	1	0	0	35	1
27	"Male"	1	1	1	33	0
28	"Female"	1	1	0	26	1
29	"Female"	1	0	1	36	1
30	"Male"	1	1	1	40	0
31	"Male"	1	0	0	31	1
32	"Female"	1	0	0	51	1
33	"Male"	0	0	0	36	0
34	"Male"	0	1	1	35	0
35	"Female"	1	1	0	33	1
36	"Male"	0	1	1	34	0
37	"Female"	0	0	0	37	1
38	"Male"	1	1	1	33	0
39	"Female"	1	1	1	31	1
40	"Male"	1	1	1	33	0
41	"Male"	1	1	1	32	0
42	"Female"	1	1	1	38	1
43	"Male"	1	1	1	37	0
44	"Male"	1	1	1	33	0
45	"Male"	1	0	1	41	0
46	"Male"	0	1	1	40	0
47	"Male"	1	0	1	34	0
48	"Female"	0	0	0	30	1
49	"Female"	1	0	1	42	1
50	"Male"	1	1	1	32	0
51	"Male"	1	1	1	33	0
52	"Female"	1	1	1	39	1
53	"Female"	0	0	1	38	1
54	"Female"	1	1	1	27	0
55	"Female"	1	1	1	39	1
56	"Male"	0	0	1	35	0
57	"Female"	1	0	1	35	1
58	"Male"	1	1	0	47	0
59	"Female"	1	0	1	28	1
60	"Female"	1	1	1	29	0
61	"Female"	0	0	1	33	1
62	"Female"	1	1	1	30	1
63	"Male"	1	1	0	39	0
64	"Male"	1	1	1	40	0
65	"Male"	1	1	1	37	0
66	"Female"	1	1	1	46	0
67	"Female"	1	1	1	36	1
68	"Male"	1	1	0	46	0
69	"Male"	1	1	1	41	0
70	"Male"	1	1	1	37	0
71	"Female"	1	0	1	36	1
72	"Male"	1	1	1	26	0
73	"Female"	0	1	1	33	1
74	"Male"	0	1	0	41	0
75	"Male"	1	1	0	39	0
76	"Female"	0	0	0	42	1
77	"Male"	0	0	0	35	1
78	"Female"	1	1	0	42	1
79	"Male"	1	0	1	33	0
80	"Female"	1	1	1	32	0
81	"Female"	0	1	0	32	1
82	"Female"	1	1	0	37	1
83	"Male"	1	0	1	36	0
84	"Female"	1	1	0	39	1
85	"Female"	1	1	0	27	1
86	"Female"	1	1	1	42	0
87	"Male"	1	1	0	43	0
88	"Male"	0	1	0	42	0
89	"Female"	1	1	1	38	1
90	"Female"	1	1	1	32	0
91	"Male"	1	1	1	33	0
92	"Female"	1	1	1	38	1
93	"Male"	1	1	1	32	0
94	"Male"	1	1	1	39	0
95	"Male"	1	0	1	35	0
96	"Female"	1	1	0	40	1
97	"Male"	1	1	1	32	0
98	"Male"	0	0	1	37	0
99	"Female"	1	1	1	35	1
100	"Male"	1	0	1	39	0
101	"Female"	1	1	0	29	1
102	"Female"	0	0	1	24	1
103	"Female"	0	0	0	30	1
